date,store,item,qty
2021-09-01 00:00:00,Osaka,Apple,4
2021-09-01 01:00:00,Osaka,Apple,3
2021-09-01 02:00:00,Tokyo,Apple,1
2021-09-01 04:00:00,Tokyo,Apple,1
2021-09-01 05:00:00,Tokyo,Grape,1
2021-09-01 07:00:00,Tokyo,Grape,1
2021-09-01 08:00:00,Tokyo,Grape,2
2021-09-01 09:00:00,Osaka,Apple,5
2021-09-01 10:00:00,Osaka,Orange,1
2021-09-01 11:00:00,Tokyo,Apple,3
2021-09-01 13:00:00,Osaka,Grape,3
2021-09-01 14:00:00,Osaka,Grape,5
2021-09-01 16:00:00,Osaka,Orange,3
2021-09-01 17:00:00,Osaka,Orange,3
2021-09-01 18:00:00,Osaka,Orange,4
2021-09-01 19:00:00,Osaka,Grape,1
2021-09-01 20:00:00,Tokyo,Grape,1
2021-09-01 22:00:00,Osaka,Apple,2
2021-09-01 23:00:00,Osaka,Apple,1
2021-09-02 03:00:00,Osaka,Grape,4
2021-09-02 04:00:00,Osaka,Apple,1
2021-09-02 05:00:00,Osaka,Grape,4
2021-09-02 06:00:00,Tokyo,Grape,5
2021-09-02 08:00:00,Tokyo,Apple,1
2021-09-02 10:00:00,Tokyo,Apple,1
2021-09-02 11:00:00,Tokyo,Apple,1
2021-09-02 12:00:00,Osaka,Apple,1
2021-09-02 14:00:00,Osaka,Grape,3
2021-09-02 15:00:00,Osaka,Apple,1
2021-09-02 16:00:00,Tokyo,Apple,2
2021-09-02 17:00:00,Tokyo,Apple,1
2021-09-02 19:00:00,Tokyo,Apple,1
2021-09-02 21:00:00,Osaka,Apple,3
2021-09-02 22:00:00,Tokyo,Grape,3
2021-09-03 03:00:00,Tokyo,Apple,6
2021-09-03 04:00:00,Tokyo,Orange,1
2021-09-03 09:00:00,Tokyo,Orange,3
2021-09-03 11:00:00,Tokyo,Apple,3
2021-09-03 12:00:00,Osaka,Grape,3
2021-09-03 14:00:00,Osaka,Orange,1
2021-09-03 16:00:00,Osaka,Apple,3
2021-09-03 17:00:00,Tokyo,Apple,1
2021-09-03 18:00:00,Osaka,Apple,2
